apyg	apyl	apyg_nr	apyl_nr	apgapl_abbrev	apygapyl_hash
Lazdynų	Skroblų	9	407	Lazdynų(9)-Skroblų(407)	7cefa82e
Lazdynų	Riešuto	9	410	Lazdynų(9)-Riešuto(410)	970ee9ed
Lazdynų	Bukčių	9	413	Lazdynų(9)-Bukčių(413)	f4c4e623
Lazdynų	Akacijų	9	414	Lazdynų(9)-Akacijų(414)	1104c88c
Lazdynų	Oslo	9	415	Lazdynų(9)-Oslo(415)	10cadf32
Lazdynų	Žėručio	9	416	Lazdynų(9)-Žėručio(416)	175b150e
Lazdynų	Paparčio	9	417	Lazdynų(9)-Paparčio(417)	b13b136e
Naujosios	Filaretų	10	101	Naujosios(10)-Filaretų(101)	7c2d3075
Naujosios	Markučių	10	115	Naujosios(10)-Markučių(115)	9ed95d07
Naujosios	Liepkalnio	10	116	Naujosios(10)-Liepkalnio(116)	a09c7422
Naujosios	Palydovo	10	461	Naujosios(10)-Palydovo(461)	532c9516
Naujosios	Rugiagėlių	10	462	Naujosios(10)-Rugiagėlių(462)	281061a2
Naujosios	Kojelavičiaus	10	463	Naujosios(10)-Kojelavičiaus(463)	7004b4a8
Naujosios	Genių	10	465	Naujosios(10)-Genių(465)	f0c45bd1
Naujosios	Pergalės	10	466	Naujosios(10)-Pergalės(466)	fcc70163
Naujosios	Darželio	10	467	Naujosios(10)-Darželio(467)	749fa567
Naujosios	Karklėnų	10	468	Naujosios(10)-Karklėnų(468)	e44b9dd4
Naujosios	Kolaso	10	469	Naujosios(10)-Kolaso(469)	e8fce3c1
Naujosios	Parko	10	470	Naujosios(10)-Parko(470)	ca717806
Naujosios	Pramonės	10	471	Naujosios(10)-Pramonės(471)	5d8215e7
Panerių	Trakų	11	48	Panerių(11)-Trakų(48)	15be7625
Panerių	Melioratorių	11	50	Panerių(11)-Melioratorių(50)	48d7a30e
Panerių	Liudvinavo	11	78	Panerių(11)-Liudvinavo(78)	a1640193
Panerių	Vilkpėdės	11	408	Panerių(11)-Vilkpėdės(408)	72071efa
Panerių	Titnago	11	411	Panerių(11)-Titnago(411)	e51b676a
Panerių	Aukštųjų	11	412	Panerių(11)-Aukštųjų(412)	87f258f7
Panerių	Salininkų	11	451	Panerių(11)-Salininkų(451)	0ad8a6ca
Panerių	Lietuvių	11	452	Panerių(11)-Lietuvių(452)	72fdde33
Panerių	Dzūkų	11	453	Panerių(11)-Dzūkų(453)	432ff0f1
Panerių	Kapsų	11	454	Panerių(11)-Kapsų(454)	780151bc
Panerių	Dariaus	11	455	Panerių(11)-Dariaus(455)	4a93b4ec
Panerių	Kaminkelio	11	456	Panerių(11)-Kaminkelio(456)	82a68f9b
Panerių	Naujininkų	11	457	Panerių(11)-Naujininkų(457)	3b1ff651
Panerių	Brolių	11	458	Panerių(11)-Brolių(458)	8ba1310c
Panerių	Gimnazijos	11	459	Panerių(11)-Gimnazijos(459)	10d7bc1d
Panerių	Kirtimų	11	460	Panerių(11)-Kirtimų(460)	8bbf2013
Panerių	Užusienio	11	464	Panerių(11)-Užusienio(464)	0f2b7b5d
Verkių	Visorių	12	23	Verkių(12)-Visorių(23)	856d142a
Verkių	Muitininkų	12	24	Verkių(12)-Muitininkų(24)	ad53a143
Verkių	Krutulio	12	53	Verkių(12)-Krutulio(53)	afc95974
Verkių	Didlaukio	12	55	Verkių(12)-Didlaukio(55)	0fd7322a
Verkių	Mokyklos	12	202	Verkių(12)-Mokyklos(202)	3ddd0bb4
Verkių	Baltupių	12	203	Verkių(12)-Baltupių(203)	cdb0d839
Verkių	Jovaro	12	206	Verkių(12)-Jovaro(206)	66e9d32e
Verkių	Giros	12	209	Verkių(12)-Giros(209)	4ce52b25
Verkių	Rugių	12	212	Verkių(12)-Rugių(212)	6639ab92
Verkių	Bajorų	12	215	Verkių(12)-Bajorų(215)	e54fb17e
Centro	Tekstilininkų	13	33	Centro(13)-Tekstilininkų(33)	e86313b0
Centro	Maironio	13	36	Centro(13)-Maironio(36)	cebbea72
Centro	Mackevičiaus	13	37	Centro(13)-Mackevičiaus(37)	daceacc7
Centro	Varpo	13	38	Centro(13)-Varpo(38)	cc7ea822
Centro	Ryšių	13	39	Centro(13)-Ryšių(39)	fa81acbc
Centro	Radvilėnų	13	40	Centro(13)-Radvilėnų(40)	0fe279c4
Centro	Jablonskio	13	42	Centro(13)-Jablonskio(42)	2f526eef
Centro	Aušros	13	43	Centro(13)-Aušros(43)	24a34da6
Centro	Senojo	13	45	Centro(13)-Senojo(45)	2b957b43
Centro	Sporto	13	47	Centro(13)-Sporto(47)	f93e83e9
Centro	Miško	13	49	Centro(13)-Miško(49)	c50d2aa5
Centro	Jonavos	13	50	Centro(13)-Jonavos(50)	baf30ad5
Centro	Karsavino	13	52	Centro(13)-Karsavino(52)	b77883da
Centro	Algirdo	13	54	Centro(13)-Algirdo(54)	dbfe4b4c
Centro	Nėries	13	63	Centro(13)-Nėries(63)	04c6a89b
Centro	Studentų	13	94	Centro(13)-Studentų(94)	d669c845
Šilainių	Sargėnų	14	2	Šilainių(14)-Sargėnų(2)	40b54961
Šilainių	Vėtrungės	14	3	Šilainių(14)-Vėtrungės(3)	48db79c0
Šilainių	Rasytės	14	4	Šilainių(14)-Rasytės(4)	998fffb7
Šilainių	Šarkuvos	14	5	Šilainių(14)-Šarkuvos(5)	55b80a42
Šilainių	Žemaičių	14	7	Šilainių(14)-Žemaičių(7)	180c9730
Šilainių	Baltų	14	8	Šilainių(14)-Baltų(8)	4dd6a24a
Šilainių	Baltijos	14	9	Šilainių(14)-Baltijos(9)	481097ca
Šilainių	Žiemgalių	14	10	Šilainių(14)-Žiemgalių(10)	d7fdccfd
Šilainių	Milikonių	14	11	Šilainių(14)-Milikonių(11)	eb03edb6
Šilainių	Demokratų	14	12	Šilainių(14)-Demokratų(12)	6759cdf0
Kalniečių	Purienų	15	56	Kalniečių(15)-Purienų(56)	c3e5e781
Kalniečių	Žeimenos	15	58	Kalniečių(15)-Žeimenos(58)	c73e6912
Kalniečių	Versmės	15	60	Kalniečių(15)-Versmės(60)	cfa10e9b
Kalniečių	Gerovės	15	61	Kalniečių(15)-Gerovės(61)	6e8d2389
Kalniečių	Aukuro	15	64	Kalniečių(15)-Aukuro(64)	0f425d67
Kalniečių	Vaidilutės	15	65	Kalniečių(15)-Vaidilutės(65)	370f74da
Kalniečių	Šiaurės	15	66	Kalniečių(15)-Šiaurės(66)	4676304f
Kalniečių	Žukausko	15	67	Kalniečių(15)-Žukausko(67)	0b82f10d
Kalniečių	Statybininkų	15	68	Kalniečių(15)-Statybininkų(68)	ac8867f1
Kalniečių	Rasos	15	69	Kalniečių(15)-Rasos(69)	107f4bee
Kalniečių	Plechavičiaus	15	70	Kalniečių(15)-Plechavičiaus(70)	3210da72
Dainavos	Škirpos	16	71	Dainavos(16)-Škirpos(71)	69ab9e91
Dainavos	Lukšio	16	72	Dainavos(16)-Lukšio(72)	2977bc7a
Dainavos	Buitininkų	16	77	Dainavos(16)-Buitininkų(77)	95e2f175
Dainavos	Partizanų	16	78	Dainavos(16)-Partizanų(78)	f5904a85
Dainavos	Pramonės	16	79	Dainavos(16)-Pramonės(79)	dc59a03e
Dainavos	Dainavos	16	80	Dainavos(16)-Dainavos(80)	d6e5bcd9
Dainavos	Urbšio	16	81	Dainavos(16)-Urbšio(81)	a2a2667f
Dainavos	Sartų	16	82	Dainavos(16)-Sartų(82)	6e1cc4cb
Dainavos	Timinskio	16	83	Dainavos(16)-Timinskio(83)	59dcc006
Dainavos	Nepriklausomybės	16	84	Dainavos(16)-Nepriklausomybės(84)	d186bdda
Dainavos	Vytauto	16	85	Dainavos(16)-Vytauto(85)	e6d32e77
Dainavos	Atžalyno	16	86	Dainavos(16)-Atžalyno(86)	d10212eb
Petrašiūnų	Krėvės	17	88	Petrašiūnų(17)-Krėvės(88)	013b55dc
Petrašiūnų	Specialistų	17	89	Petrašiūnų(17)-Specialistų(89)	68402fd1
Petrašiūnų	Taikos	17	91	Petrašiūnų(17)-Taikos(91)	16ebe7bb
Petrašiūnų	Vyturio	17	92	Petrašiūnų(17)-Vyturio(92)	970ed333
Petrašiūnų	Butrimonių	17	93	Petrašiūnų(17)-Butrimonių(93)	c1798a58
Petrašiūnų	Dujotiekio	17	96	Petrašiūnų(17)-Dujotiekio(96)	bc68ad5f
Petrašiūnų	Girstučio	17	97	Petrašiūnų(17)-Girstučio(97)	7f04e880
Petrašiūnų	Pašilės	17	98	Petrašiūnų(17)-Pašilės(98)	eb8c2158
Petrašiūnų	Knygnešių	17	99	Petrašiūnų(17)-Knygnešių(99)	33f2c3f5
Petrašiūnų	Palemono	17	101	Petrašiūnų(17)-Palemono(101)	c141a8e3
Petrašiūnų	Nemuno	17	111	Petrašiūnų(17)-Nemuno(111)	0ee8bdd5
Petrašiūnų	Šilo	17	114	Petrašiūnų(17)-Šilo(114)	08f86fe0
Petrašiūnų	Buriuotojų	17	116	Petrašiūnų(17)-Buriuotojų(116)	3a6de2c1
Panemunės	Birutės	18	29	Panemunės(18)-Birutės(29)	318ceda0
Panemunės	Julijanavos	18	30	Panemunės(18)-Julijanavos(30)	76b86398
Panemunės	Piliakalnio	18	31	Panemunės(18)-Piliakalnio(31)	40bc3be1
Panemunės	Sodų	18	105	Panemunės(18)-Sodų(105)	ffa4de89
Panemunės	Šančių	18	106	Panemunės(18)-Šančių(106)	8f1fcad3
Panemunės	Drobės	18	107	Panemunės(18)-Drobės(107)	62cac838
Panemunės	Skuodo	18	108	Panemunės(18)-Skuodo(108)	e1551569
Panemunės	Žiburio	18	109	Panemunės(18)-Žiburio(109)	1b5d25b6
Panemunės	Breslaujos	18	110	Panemunės(18)-Breslaujos(110)	9488908a
Panemunės	Vaidoto	18	117	Panemunės(18)-Vaidoto(117)	5ed0e605
Panemunės	Pušų	18	118	Panemunės(18)-Pušų(118)	a2bb3d58
Panemunės	Vičiūnų	18	120	Panemunės(18)-Vičiūnų(120)	e5ff3772
Panemunės	Rokų	18	122	Panemunės(18)-Rokų(122)	40588be3
Panemunės	Vaišvydavos	18	123	Panemunės(18)-Vaišvydavos(123)	73e65612
Aleksoto	Linkuvos	19	13	Aleksoto(19)-Linkuvos(13)	7e314552
Aleksoto	Sąjungos	19	15	Aleksoto(19)-Sąjungos(15)	afd9d2da
Aleksoto	Dobilo	19	16	Aleksoto(19)-Dobilo(16)	4d25f844
Aleksoto	Apuolės	19	18	Aleksoto(19)-Apuolės(18)	d722b7ae
Aleksoto	Seredžiaus	19	19	Aleksoto(19)-Seredžiaus(19)	a5dad3ec
Aleksoto	Veršvų	19	21	Aleksoto(19)-Veršvų(21)	6e8be67f
Aleksoto	Žagarės	19	22	Aleksoto(19)-Žagarės(22)	40144be7
Aleksoto	Lampėdžių	19	23	Aleksoto(19)-Lampėdžių(23)	564485e7
Aleksoto	Kaniūkų	19	24	Aleksoto(19)-Kaniūkų(24)	41d1f379
Aleksoto	Dobkevičiaus	19	27	Aleksoto(19)-Dobkevičiaus(27)	1a9f4373
Aleksoto	Veiverių	19	28	Aleksoto(19)-Veiverių(28)	01c3916a
Aleksoto	Ąžuolo	19	121	Aleksoto(19)-Ąžuolo(121)	0aca28db
