b1	b2	b3	b4	b5	partija	apylinkė
1	2	3	5	7	Tautininkai	Sėlos(50)-Skapiškio(18)
1	2	4	5	6	LTSąrašas	Diplomatinė-Egiptas(13)
1	2	4	5	6	LTSąrašas	Jurbarko(62)-Klausučių(20)
1	2	4	5	6	LTSąrašas	Sūduvos(63)-Tarprubežių(14)
2	4	12	-	-	ŽaliųjųP	Raseinių(42)-Alėjų(43)
5	13	-	-	-	LiaudiesP	Visagino(52)-Samanių(10)
5	13	-	-	-	LTSąrašas	Zanavykų(64)-Briedžių(37)
1	18	-	-	-	LenkųAkcija	Kaišiadorių(59)-Dainių(13)
1	2	3	4	9	Tautininkai	Dzūkijos(69)-Ąžuolinių(20)
1	2	3	5	8	LiaudiesP	Varėnos(70)-Pušelės(27)
1	2	3	6	7	DrąsosKelias	Telšių(40)-Cvirkos(10)
1	2	3	6	7	Konservatoriai	Kuršo(37)-Mikoliškių(33)
1	2	3	6	7	LTSąrašas	Visagino(52)-Zarasų(24)
1	2	4	5	7	LTSąrašas	Jonavos(60)-Liepių(16)
1	2	7	9	-	DrąsosKelias	Raudondvario(65)-Saulėtekių(36)
1	3	4	5	6	LiaudiesP	Jurbarko(62)-Rutkiškių(10)
19	-	-	-	-	DrąsosKelias	Raseinių(42)-Girkalnio(23)
19	-	-	-	-	Liberalai	Nalšios(53)-Ceikinių(3)
6	13	-	-	-	LTSąrašas	Raudondvario(65)-Daugėliškių(37)
1	2	17	-	-	DrąsosKelias	Raseinių(42)-Pašaltuonio(6)
1	2	3	4	10	LenkųAkcija	Dzūkijos(69)-Žagarių(29)
1	2	3	4	10	LiaudiesP	Telšių(40)-Kalno(7)
1	2	3	6	8	LiaudiesP	Mažeikių(38)-Auksūdžio(22)
1	2	3	6	8	LTSąrašas	Raseinių(42)-Katauskių(35)
1	2	3	6	8	LTSąrašas	Sėlos(50)-Suvainiškio(35)
1	2	3	6	8	Krivick	Akmenės(39)-Kalniškių(20)
1	2	4	6	7	Tautininkai	Kėdainių(43)-Mantviliškio(19)
1	2	5	12	-	LTSąrašas	Varėnos(70)-Vilkiautinio(17)
2	3	4	5	6	LaisvSąjung	Medininkų(57)-Savičiūnų(43)
2	3	4	5	6	LTSąrašas	Telšių(40)-Kuršų(25)
2	3	4	5	6	Krivick	Šilutės(32)-Ramučių(8)
2	7	11	-	-	Liberalai	Radviliškio(44)-Minaičių(16)
20	-	-	-	-	LaisvSąjung	Pasvalio(47)-Namišių(27)
1	2	18	-	-	Tautininkai	Pietų(33)-Stemplių(25)
1	2	3	4	11	LiaudiesP	Pietų(33)-Bijotų(3)
1	2	3	5	10	LaisvSąjung	Molėtų(54)-Miežonių(13)
1	2	3	5	10	LTSąrašas	Akmenės(39)-Daubiškių(8)
1	2	4	5	9	LaisvSąjung	Molėtų(54)-Levaniškių(14)
1	2	5	13	-	DrąsosKelias	Nalšios(53)-Trūdų(8)
1	2	5	6	7	Tautininkai	Anykščių(49)-Kavarsko(12)
1	3	4	6	7	Tautininkai	Zanavykų(64)-Slavikų(30)
1	3	4	6	7	ŽaliųjųP	Vilkaviškio(68)-Karalkrėslio(26)
2	3	4	5	7	LaisvSąjung	Kaišiadorių(59)-Vilūnų(7)
21	-	-	-	-	DrąsosKelias	Aukštaitijos(28)-Paežerio(31)
21	-	-	-	-	LaisvSąjung	Zanavykų(64)-Baltrušių(5)
21	-	-	-	-	Krivick	Raseinių(42)-Ramonų(37)
3	5	6	7	-	LenkųAkcija	Prienų(67)-Strielčių(22)
1	2	3	4	12	LaisvSąjung	Sūduvos(63)-Padovinio(29)
1	2	3	4	12	LiaudiesP	Gargždų(31)-Judrėnų(6)
1	2	3	5	11	LiaudiesP	Sėlos(50)-Sėlynės(21)
1	2	3	6	10	DrąsosKelias	Tauragės(34)-Laisvės(7)
